Shop_ID,Shop_Name,Province,District_Zone,Sales_Rep,Shop_Latitude,Shop_Longitude,Visit_Status,Checkin_Timestamp,User_Latitude,User_Longitude,Distance_From_Shop(m),Remark
S0001,หาดใหญ่ โกรเซอรี่,ตรัง,กันตัง,วิชัย,7.407879,99.517787,Not Checked-in,,,,,-
S0002,เจริญ พานิช,นราธิวาส,รือเสาะ,ทศพล,6.391149,101.50498,Checked-in,2025-12-05 14:18:55,6.391245,101.504978,10.0,ปกติ
S0003,ลุงพล มาร์ท,สตูล,ละงู,วิชัย,6.880591,99.801563,Checked-in,2025-12-06 08:21:25,6.880779,99.801465,23.0,ปกติ
S0004,ทรัพย์ ค้าส่ง,สตูล,เมืองสตูล,วิชัย,6.61915,100.11163,Not Checked-in,,,,,-
S0005,เมืองใต้ ค้าส่ง,สุราษฎร์ธานี,เวียงสระ,สุดารัตน์,8.636109,99.343869,Checked-in,2025-12-03 12:23:44,8.636208,99.343766,15.0,ปกติ
S0006,สยาม พานิช,ปัตตานี,โคกโพธิ์,ทศพล,6.746132,101.080925,Not Checked-in,,,,,-
S0007,สยาม บริการ,สงขลา,หาดใหญ่,กานต์,7.03832,100.524232,Checked-in,2025-12-03 09:11:01,7.038131,100.524079,26.0,ปกติ
S0008,ลุงพล 2025,ชุมพร,ปะทิว,วิชัย,10.691845,99.34543,Checked-in,2025-12-07 16:15:38,10.691943,99.345342,14.0,ปกติ
S0009,โกไข่ 2025,ระนอง,กระบุรี,สุดารัตน์,10.378138,98.883213,Checked-in,2025-12-02 17:13:31,10.37817,98.883155,7.0,ปกติ
S0010,น้องหญิง ซัพพลาย,นครศรีธรรมราช,ปากพนัง,ทศพล,8.297982,100.248348,Checked-in,2025-12-07 15:55:44,8.292508,100.25756,1182.0,ระยะไกลเกินกำหนด
S0011,รุ่งเรือง ซัพพลาย,ปัตตานี,เมืองปัตตานี,วิชัย,6.875402,101.218191,Checked-in,2025-12-07 16:21:27,6.875188,101.21485,369.0,ระยะไกลเกินกำหนด
S0012,หาดใหญ่ 2025,ตรัง,ปะเหลียน,สุดารัตน์,7.171852,99.75758,Not Checked-in,,,,,-
S0013,โกไข่ บริการ,นราธิวาส,สุไหงโก-ลก,มานะ,6.025602,101.969348,Not Checked-in,,,,,-
S0014,หาดใหญ่ สโตร์,สตูล,ละงู,สมชาย,6.880936,99.770759,Checked-in,2025-12-06 11:24:33,6.880811,99.770706,15.0,ปกติ
S0015,โกไข่ โกรเซอรี่,สตูล,เมืองสตูล,สมชาย,6.620457,100.073143,Checked-in,2025-12-02 13:10:01,6.620585,100.073234,17.0,ปกติ
S0016,อันดามัน โอชา,ระนอง,กระบุรี,เจนนี่,10.34566,98.886077,Checked-in,2025-12-02 15:32:45,10.345534,98.885985,17.0,ปกติ
S0017,เมืองใต้ สาขา 1,พังงา,เมืองพังงา,มานะ,8.48685,98.540849,Checked-in,2025-12-01 17:10:04,8.486792,98.54104,22.0,ปกติ
S0018,รุ่งเรือง พานิช,นราธิวาส,รือเสาะ,เจนนี่,6.419031,101.564607,Not Checked-in,,,,,-
S0019,หาดใหญ่ สโตร์,ระนอง,กระบุรี,กานต์,10.441563,98.898378,Not Checked-in,,,,,-
S0020,ป้าแดง ค้าส่ง,สตูล,เมืองสตูล,มานะ,6.609781,100.018826,Checked-in,2025-12-06 09:06:41,6.609806,100.018756,8.0,ปกติ
S0021,หาดใหญ่ มาร์ท,สงขลา,สะเดา,สุดารัตน์,6.587034,100.432108,Not Checked-in,,,,,-
S0022,อันดามัน พานิช,พังงา,เมืองพังงา,สุดารัตน์,8.429137,98.548359,Checked-in,2025-12-09 12:11:10,8.429173,98.548244,13.0,ปกติ
S0023,ลุงพล ค้าส่ง,กระบี่,เกาะลันตา,มานะ,7.506568,99.107582,Checked-in,2025-12-09 17:44:53,7.506734,99.107479,21.0,ปกติ
S0024,ลุงพล สโตร์,ชุมพร,ปะทิว,วิชัย,10.671664,99.344637,Checked-in,2025-12-08 08:45:00,10.671753,99.344823,22.0,ปกติ
S0025,ป้าแดง ค้าส่ง,สตูล,ละงู,มานะ,6.843333,99.735254,Checked-in,2025-12-08 15:50:33,6.843483,99.735062,27.0,ปกติ
S0026,ศรีนคร การค้า,ภูเก็ต,กะทู้,วิชัย,7.948663,98.385496,Checked-in,2025-12-08 16:52:46,7.94862,98.385325,19.0,ปกติ
