Shop_ID,Shop_Name,Region,Province,District_Anchor,Shop_Lat,Shop_Lon,Visit_Status,Checkin_Time,User_Lat,User_Lon,Distance_m,Remark
S00001,ท็อป การเกษตร,East,Chachoengsao,Mueang,13.630832,101.009175,Missed,,,,,-
S00002,เจริญ การเกษตร,Bangkok-Metro,Samut Prakan,Bang Phli,13.634967,100.728483,Missed,,,,,-
S00003,เพิ่มพูน สโตร์,Central & West,Prachuap Khiri Khan,Hua Hin,12.517264,100.005745,Missed,,,,,-
S00004,บิ๊ก เทรดดิ้ง,Isan,Khon Kaen,Mueang,16.505246,102.881193,Checked-in,2025-12-03 12:22:40,16.505151,102.881437,28.0,Normal
S00005,เจริญ ค้าวัสดุ,Isan,Udon Thani,Mueang,17.402299,102.77312,Checked-in,2025-12-02 11:59:34,17.402542,102.772851,39.0,Normal
S00006,สยาม สโตร์,North,Phitsanulok,Mueang,16.754311,100.222337,Checked-in,2025-12-02 08:42:18,16.754355,100.222194,15.0,Normal
S00007,บิ๊ก อิเล็คทริค,East,Chon Buri,Si Racha,13.164301,100.916197,Checked-in,2025-12-06 15:06:07,13.164228,100.915941,28.0,Normal
S00008,โชคดี เบเกอรี่,Isan,Udon Thani,Mueang,17.391391,102.729178,Checked-in,2025-12-01 10:32:52,17.391128,102.729076,31.0,Normal
S00009,โชคดี พานิช,Bangkok-Metro,Nonthaburi,Bang Yai,13.859786,100.350548,Checked-in,2025-12-06 09:32:14,13.85957,100.350464,25.0,Normal
S00010,สมชาย การเกษตร,North,Lampang,Mueang,18.249301,99.518456,Checked-in,2025-12-02 16:29:36,18.249372,99.518651,22.0,Normal
S00011,เพิ่มพูน คาเฟ่,Bangkok-Metro,Nonthaburi,Bang Yai,13.844013,100.352352,Missed,,,,,-
S00012,รุ่งโรจน์ ค้าวัสดุ,East,Rayong,Mueang,12.707634,101.228232,Missed,,,,,-
S00013,ท็อป เบเกอรี่,East,Chachoengsao,Mueang,13.612212,101.098504,Checked-in,2025-12-04 09:10:30,13.612299,101.09835,19.0,Normal
S00014,มั่นคง พานิช,Central & West,Ratchaburi,Mueang,13.547914,99.753037,Checked-in,2025-12-04 17:19:16,13.547657,99.75321,34.0,Normal
S00015,เจริญ มาร์เก็ต,Central & West,Ayutthaya,Mueang,14.403056,100.526819,Missed,,,,,-
S00016,แสงทอง อิเล็คทริค,Central & West,Kanchanaburi,Mueang,13.983707,99.513669,Checked-in,2025-12-02 17:59:33,13.98368,99.513382,31.0,Normal
S00017,ท็อป พานิช,Isan,Udon Thani,Mueang,17.432009,102.73945,Checked-in,2025-12-05 09:32:26,17.432262,102.739331,30.0,Normal
S00018,โชคดี เทรดดิ้ง,Isan,Buriram,Mueang,14.941885,103.055578,Missed,,,,,-
S00019,ทวีทรัพย์ ค้าวัสดุ,Bangkok-Metro,Pathum Thani,Rangsit,13.993032,100.612063,Checked-in,2025-12-05 16:05:15,13.992999,100.612068,3.0,Normal
S00020,ท็อป มาร์เก็ต,Isan,Nakhon Ratchasima,Pak Chong,14.726556,101.384916,Checked-in,2025-12-05 13:34:53,14.726596,101.38519,29.0,Normal
S00021,บิ๊ก เบเกอรี่,Bangkok-Metro,Bangkok,Min Buri,13.837755,100.769595,Missed,,,,,-
S00022,โชคดี การเกษตร,Isan,Udon Thani,Mueang,17.484015,102.805131,Checked-in,2025-12-06 15:27:56,17.484113,102.805099,11.0,Normal
S00023,เจริญ มาร์เก็ต,East,Chachoengsao,Mueang,13.756102,101.022728,Checked-in,2025-12-07 09:54:54,13.755986,101.022833,17.0,Normal
S00024,สมชาย เบเกอรี่,Bangkok-Metro,Nonthaburi,Mueang,13.877432,100.49925,Checked-in,2025-12-09 13:10:27,13.877649,100.499219,24.0,Normal
S00025,สยาม พานิช,North,Chiang Mai,Hang Dong,18.762313,98.951295,Checked-in,2025-12-09 10:09:01,18.762235,98.951538,27.0,Normal
S00026,บิ๊ก มาร์เก็ต,Isan,Khon Kaen,Chum Phae,16.481129,102.059409,Missed,,,,,-
S00027,บิ๊ก เทรดดิ้ง,Bangkok-Metro,Samut Prakan,Mueang,13.608379,100.573024,Checked-in,2025-12-07 15:41:56,13.608263,100.572982,13.0,Normal
S00028,แสงทอง คาเฟ่,Bangkok-Metro,Samut Prakan,Bang Phli,13.584929,100.728844,Checked-in,2025-12-05 08:10:25,13.584819,100.728658,23.0,Normal
S00029,เพิ่มพูน คาเฟ่,Isan,Buriram,Mueang,14.995988,103.08014,Checked-in,2025-12-01 12:31:15,14.995909,103.079892,28.0,Normal
S00030,ไทย อิเล็คทริค,Isan,Buriram,Mueang,14.958046,103.103471,Missed,,,,,-
S00031,มั่นคง อิเล็คทริค,North,Lampang,Mueang,18.257575,99.419377,Missed,,,,,-
S00032,ท็อป เบเกอรี่,South,Nakhon Si Thammarat,Thung Song,8.092944,99.752842,Checked-in,2025-12-01 15:06:06,8.092928,99.752603,26.0,Normal
S00033,เจริญ โอสถ,Isan,Nakhon Ratchasima,Phimai,15.159265,102.492829,Missed,,,,,-
S00034,เพิ่มพูน ค้าวัสดุ,Bangkok-Metro,Nonthaburi,Bang Yai,13.863114,100.355981,Missed,,,,,-
S00035,สยาม เทรดดิ้ง,Bangkok-Metro,Nonthaburi,Mueang,13.883473,100.509838,Missed,,,,,-
S00036,เพิ่มพูน โอสถ,North,Lampang,Mueang,18.36542,99.564266,Checked-in,2025-12-02 12:52:57,18.365669,99.564445,33.0,Normal
S00037,โชคดี ค้าวัสดุ,Isan,Khon Kaen,Mueang,16.519559,102.761809,Missed,,,,,-
S00038,เจริญ คาเฟ่,Bangkok-Metro,Samut Prakan,Mueang,13.574788,100.624432,Checked-in,2025-12-01 15:50:37,13.584996,100.579703,4966.0,Suspicious (>500m)
S00039,รุ่งโรจน์ สโตร์,Bangkok-Metro,Bangkok,Chatuchak,13.810373,100.5583,Checked-in,2025-12-07 10:31:25,13.810343,100.558049,27.0,Normal
S00040,มั่นคง คาเฟ่,Isan,Khon Kaen,Mueang,16.396491,102.898163,Checked-in,2025-12-04 14:35:00,16.396683,102.89842,34.0,Normal
S00041,เพิ่มพูน พานิช,Bangkok-Metro,Samut Prakan,Mueang,13.626117,100.613505,Checked-in,2025-12-08 08:09:46,13.626111,100.613326,19.0,Normal
S00042,เพิ่มพูน ค้าวัสดุ,Central & West,Ayutthaya,Mueang,14.322212,100.56487,Checked-in,2025-12-08 17:49:24,14.327865,100.59783,3606.0,Suspicious (>500m)
S00043,โชคดี มาร์เก็ต,Central & West,Prachuap Khiri Khan,Hua Hin,12.597845,100.024495,Missed,,,,,-
S00044,สมชาย มาร์เก็ต,South,Songkhla,Mueang,7.245389,100.603694,Checked-in,2025-12-02 09:34:00,7.245565,100.603486,30.0,Normal
S00045,บิ๊ก คาเฟ่,Bangkok-Metro,Samut Prakan,Mueang,13.587018,100.597107,Checked-in,2025-12-04 16:23:04,13.587059,100.597026,9.0,Normal
S00046,แสงทอง คาเฟ่,East,Chon Buri,Pattaya,12.875617,100.95541,Checked-in,2025-12-01 12:51:29,12.875572,100.95539,5.0,Normal
S00047,ทวีทรัพย์ มาร์เก็ต,Bangkok-Metro,Samut Prakan,Mueang,13.620898,100.620707,Checked-in,2025-12-05 11:37:39,13.620799,100.620709,11.0,Normal
S00048,แสงทอง อิเล็คทริค,Bangkok-Metro,Nonthaburi,Bang Yai,13.835881,100.372538,Checked-in,2025-12-09 11:04:42,13.835937,100.372294,27.0,Normal
S00049,บิ๊ก เบเกอรี่,Isan,Nakhon Ratchasima,Pak Chong,14.700655,101.382718,Checked-in,2025-12-09 13:51:32,14.666928,101.366584,4132.0,Suspicious (>500m)
