Shop_ID,Shop_Name,Province,Sales_Rep,Shop_Latitude,Shop_Longitude,Visit_Status,Checkin_Timestamp,User_Latitude,User_Longitude,Distance_From_Shop(m),Remark
S0001,อันดามัน บริการ,นครศรีธรรมราช,มานะ,8.427299,99.979068,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0002,อันดามัน 2024,ชุมพร,ทศพล,10.50678,99.221817,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0003,สยาม สโตร์,ปัตตานี,สมชาย,6.928256,101.290538,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0004,น้องหญิง มาร์ท,สงขลา,กานต์,7.035639,100.468344,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0005,สยาม 2024,ปัตตานี,สุดารัตน์,6.810038,101.293274,Checked-in,2025-12-03 10:16:36,6.810187,101.293154,21.0,ปกติ
S0006,เจริญ พานิช,สงขลา,ทศพล,6.946984,100.504965,Checked-in,2025-12-08 15:55:25,6.946949,100.504821,16.0,ปกติ
S0007,ศรีนคร โอชา,ชุมพร,มานะ,10.553134,99.212332,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0008,ศรีนคร ค้าส่ง,พังงา,กานต์,8.415849,98.580922,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0009,รุ่งเรือง การค้า,ชุมพร,สมชาย,10.555156,99.202887,Checked-in,2025-12-03 10:50:20,10.554884,99.202695,36.0,ปกติ
S0010,อันดามัน บริการ,ปัตตานี,วิชัย,6.912374,101.182874,Checked-in,2025-12-03 09:37:39,6.912527,101.182762,20.0,ปกติ
S0011,เมืองใต้ 2024,พังงา,กานต์,8.414736,98.541079,Checked-in,2025-12-03 13:36:00,8.414437,98.54101,34.0,ปกติ
S0012,อันดามัน การค้า,กระบี่,ทศพล,8.05682,98.931204,Checked-in,2025-12-06 16:01:08,8.056777,98.931381,20.0,ปกติ
S0013,เจริญ พานิช,ตรัง,มานะ,7.597168,99.558166,Checked-in,2025-12-07 09:29:40,7.596925,99.557965,34.0,ปกติ
S0014,โกไข่ มาร์ท,พัทลุง,สมชาย,7.552093,100.108568,Checked-in,2025-12-09 17:34:57,7.552044,100.108443,14.0,ปกติ
S0015,อันดามัน ซัพพลาย,พังงา,สมชาย,8.468467,98.593811,Checked-in,2025-12-03 15:17:04,8.468372,98.593953,18.0,ปกติ
S0016,สยาม ซัพพลาย,ยะลา,วิชัย,6.616202,101.310774,Checked-in,2025-12-07 12:04:04,6.616052,101.310846,18.0,ปกติ
S0017,เมืองใต้ สโตร์,พังงา,ทศพล,8.505579,98.553388,Checked-in,2025-12-09 11:29:11,8.505721,98.553414,16.0,ปกติ
S0018,ทรัพย์ 2024,นราธิวาส,ทศพล,6.460951,101.882047,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0019,ทรัพย์ โกรเซอรี่,พัทลุง,กานต์,7.684223,100.017552,Checked-in,2025-12-08 15:34:45,7.684091,100.01743,19.0,ปกติ
S0020,ศรีนคร การค้า,ภูเก็ต,กานต์,7.855345,98.416238,Checked-in,2025-12-02 10:19:00,7.855204,98.41616,17.0,ปกติ
S0021,รุ่งเรือง ซัพพลาย,ชุมพร,มานะ,10.468037,99.130089,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0022,ศรีนคร ซัพพลาย,นราธิวาส,สมชาย,6.474676,101.863108,Checked-in,2025-12-06 17:12:48,6.474552,101.863282,23.0,ปกติ
S0023,ศรีนคร บริการ,กระบี่,สมชาย,8.048546,98.83712,Checked-in,2025-12-03 10:14:43,8.048647,98.837127,11.0,ปกติ
S0024,โกไข่ บริการ,สตูล,สุดารัตน์,6.659869,100.039573,Checked-in,2025-12-08 12:27:05,6.647629,100.030187,1710.0,ระยะไกลเกินกำหนด (Suspicious)
S0025,น้องหญิง การค้า,ปัตตานี,กานต์,6.812298,101.30293,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0026,ศรีนคร บริการ,ปัตตานี,สมชาย,6.871976,101.20384,Checked-in,2025-12-03 10:16:57,6.89193,101.190067,2689.0,ระยะไกลเกินกำหนด (Suspicious)
S0027,อันดามัน บริการ,พังงา,ทศพล,8.446136,98.482873,Checked-in,2025-12-06 15:35:42,8.446132,98.482605,29.0,ปกติ
S0028,โกไข่ สโตร์,นราธิวาส,กานต์,6.472672,101.856862,Checked-in,2025-12-04 12:27:32,6.47297,101.856973,35.0,ปกติ
S0029,หาดใหญ่ สโตร์,ชุมพร,กานต์,10.4839,99.181047,Checked-in,2025-12-04 13:04:33,10.483825,99.180946,13.0,ปกติ
S0030,ทรัพย์ โกรเซอรี่,ชุมพร,สุดารัตน์,10.418557,99.144484,Checked-in,2025-12-03 09:53:09,10.418643,99.144525,10.0,ปกติ
S0031,โกไข่ ค้าส่ง,ตรัง,ทศพล,7.512529,99.584984,Checked-in,2025-12-07 15:36:30,7.512642,99.585274,34.0,ปกติ
S0032,เมืองใต้ ค้าส่ง,ปัตตานี,ทศพล,6.866544,101.325773,Checked-in,2025-12-03 12:45:21,6.866296,101.325546,37.0,ปกติ
S0033,อันดามัน ซัพพลาย,ยะลา,กานต์,6.584394,101.278008,Checked-in,2025-12-05 13:12:42,6.584671,101.278178,36.0,ปกติ
S0034,สยาม โอชา,ชุมพร,วิชัย,10.543737,99.142748,Checked-in,2025-12-04 15:40:08,10.543827,99.142459,33.0,ปกติ
S0035,สยาม โกรเซอรี่,พัทลุง,มานะ,7.681397,100.100028,Checked-in,2025-12-03 08:02:44,7.681133,100.100107,30.0,ปกติ
S0036,เมืองใต้ ค้าส่ง,กระบี่,สุดารัตน์,8.110391,98.841757,Checked-in,2025-12-08 14:13:26,8.110658,98.84147,43.0,ปกติ
S0037,เจริญ ซัพพลาย,นครศรีธรรมราช,กานต์,8.451212,99.974496,Checked-in,2025-12-04 09:33:08,8.451088,99.974268,28.0,ปกติ
S0038,หาดใหญ่ สโตร์,ตรัง,ทศพล,7.493766,99.654388,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0039,น้องหญิง บริการ,ตรัง,สุดารัตน์,7.490146,99.572507,Checked-in,2025-12-07 10:10:45,7.489985,99.572505,17.0,ปกติ
S0040,ทรัพย์ โกรเซอรี่,ชุมพร,วิชัย,10.506239,99.168394,Checked-in,2025-12-07 11:05:05,10.505939,99.168501,35.0,ปกติ
S0041,อันดามัน 2024,พังงา,สมชาย,8.500962,98.526895,Checked-in,2025-12-02 08:07:05,8.501208,98.526625,40.0,ปกติ
S0042,รุ่งเรือง มาร์ท,สตูล,สุดารัตน์,6.62922,99.999767,Checked-in,2025-12-05 09:55:11,6.628966,99.999966,35.0,ปกติ
S0043,หาดใหญ่ ค้าส่ง,สงขลา,วิชัย,6.960719,100.53701,Checked-in,2025-12-08 17:44:18,6.960727,100.536838,18.0,ปกติ
S0044,เจริญ ค้าส่ง,ระนอง,สมชาย,9.909749,98.605295,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0045,ทรัพย์ มาร์ท,นครศรีธรรมราช,สุดารัตน์,8.488312,99.943734,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0046,น้องหญิง ซัพพลาย,สุราษฎร์ธานี,มานะ,9.145635,99.28152,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0047,อันดามัน ค้าส่ง,พัทลุง,สมชาย,7.662959,100.044891,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0048,เมืองใต้ โกรเซอรี่,นราธิวาส,กานต์,6.363418,101.772112,Checked-in,2025-12-03 16:30:22,6.363146,101.772271,34.0,ปกติ
S0049,อันดามัน ซัพพลาย,ชุมพร,ทศพล,10.513659,99.211091,Checked-in,2025-12-02 09:58:12,10.513602,99.210813,31.0,ปกติ
S0050,ทรัพย์ พานิช,สงขลา,สมชาย,6.978988,100.538216,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0051,ทรัพย์ 2024,นราธิวาส,สุดารัตน์,6.353941,101.805443,Checked-in,2025-12-03 11:11:58,6.353782,101.805188,33.0,ปกติ
S0052,ทรัพย์ ซัพพลาย,ระนอง,สมชาย,10.025105,98.55529,Checked-in,2025-12-08 12:16:11,10.024948,98.555142,23.0,ปกติ
S0053,หาดใหญ่ ค้าส่ง,นราธิวาส,กานต์,6.477906,101.779809,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0054,ศรีนคร บริการ,สุราษฎร์ธานี,ทศพล,9.178341,99.265102,Checked-in,2025-12-01 12:17:33,9.178133,99.265181,24.0,ปกติ
S0055,เมืองใต้ ค้าส่ง,ปัตตานี,กานต์,6.810335,101.239249,Checked-in,2025-12-07 14:57:47,6.810525,101.239521,36.0,ปกติ
S0056,ศรีนคร โอชา,ตรัง,วิชัย,7.504733,99.647588,Checked-in,2025-12-09 17:51:43,7.504624,99.647587,12.0,ปกติ
S0057,อันดามัน พานิช,สงขลา,วิชัย,6.925721,100.434533,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0058,หาดใหญ่ บริการ,นราธิวาส,ทศพล,6.40883,101.750566,Checked-in,2025-12-01 11:06:17,6.408877,101.750626,8.0,ปกติ
S0059,น้องหญิง ซัพพลาย,ปัตตานี,ทศพล,6.88774,101.294025,Checked-in,2025-12-03 08:33:24,6.887643,101.29385,22.0,ปกติ
S0060,ศรีนคร การค้า,พังงา,กานต์,8.452579,98.520554,Checked-in,2025-12-04 14:22:51,8.452806,98.520842,40.0,ปกติ
S0061,สยาม บริการ,ชุมพร,สมชาย,10.547554,99.233707,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0062,ทรัพย์ พานิช,กระบี่,สุดารัตน์,8.100129,98.860505,Checked-in,2025-12-06 17:59:15,8.099903,98.860227,39.0,ปกติ
S0063,เจริญ ค้าส่ง,สงขลา,ทศพล,7.058492,100.419159,Checked-in,2025-12-09 17:56:39,7.058256,100.41909,27.0,ปกติ
S0064,ทรัพย์ สโตร์,ปัตตานี,กานต์,6.796653,101.286203,Checked-in,2025-12-06 13:36:51,6.796923,101.286384,36.0,ปกติ
S0065,โกไข่ บริการ,พังงา,สุดารัตน์,8.525049,98.591812,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0066,หาดใหญ่ โกรเซอรี่,ระนอง,ทศพล,9.972774,98.706159,Checked-in,2025-12-06 11:49:13,9.97258,98.706311,27.0,ปกติ
S0067,สยาม ซัพพลาย,สตูล,วิชัย,6.546933,100.087813,Checked-in,2025-12-05 10:59:47,6.546787,100.087915,19.0,ปกติ
S0068,โกไข่ โกรเซอรี่,นครศรีธรรมราช,วิชัย,8.47012,100.036615,Checked-in,2025-12-01 16:41:47,8.470013,100.036661,12.0,ปกติ
S0069,เมืองใต้ โอชา,ภูเก็ต,สุดารัตน์,7.830566,98.416609,Checked-in,2025-12-06 14:26:52,7.830749,98.416817,30.0,ปกติ
S0070,สยาม สโตร์,สงขลา,กานต์,7.058272,100.524645,Checked-in,2025-12-02 09:15:04,7.058111,100.524502,23.0,ปกติ
S0071,ศรีนคร ค้าส่ง,ตรัง,วิชัย,7.523669,99.568438,Checked-in,2025-12-09 09:34:59,7.523489,99.568426,20.0,ปกติ
S0072,เมืองใต้ พานิช,พังงา,วิชัย,8.466798,98.527807,Checked-in,2025-12-08 17:15:51,8.466968,98.52775,19.0,ปกติ
